,t,V1,V2,V1err,V2err,terr
677,-5.7299999999999998504,560.0000000000000533,479.99999999999998224,3.1272000000000001719,2.947200000000000008,0.00125
678,-5.720000000000000258,560.0000000000000533,520.00000000000001776,3.1272000000000001719,3.0672000000000001173,0.00125
679,-5.709999999999999798,560.0000000000000533,520.00000000000001776,3.1272000000000001719,3.0672000000000001173,0.00125
680,-5.7000000000000002054,520.00000000000001776,520.00000000000001776,3.0072000000000000627,3.0672000000000001173,0.00125
681,-5.6899999999999997455,560.0000000000000533,520.00000000000001776,3.1272000000000001719,3.0672000000000001173,0.00125
682,-5.680000000000000153,560.0000000000000533,479.99999999999998224,3.1272000000000001719,2.947200000000000008,0.00125
683,-5.669999999999999693,560.0000000000000533,520.00000000000001776,3.1272000000000001719,3.0672000000000001173,0.00125
684,-5.6600000000000001005,560.0000000000000533,479.99999999999998224,3.1272000000000001719,2.947200000000000008,0.00125
685,-5.6499999999999996406,560.0000000000000533,520.00000000000001776,3.1272000000000001719,3.0672000000000001173,0.00125
686,-5.640000000000000048,560.0000000000000533,479.99999999999998224,3.1272000000000001719,2.947200000000000008,0.00125
687,-5.629999999999999588,560.0000000000000533,520.00000000000001776,3.1272000000000001719,3.0672000000000001173,0.00125
688,-5.6199999999999999956,520.00000000000001776,520.00000000000001776,3.0072000000000000627,3.0672000000000001173,0.00125
689,-5.610000000000000403,520.00000000000001776,520.00000000000001776,3.0072000000000000627,3.0672000000000001173,0.00125
690,-5.599999999999999943,560.0000000000000533,520.00000000000001776,3.1272000000000001719,3.0672000000000001173,0.00125
691,-5.5900000000000003506,560.0000000000000533,520.00000000000001776,3.1272000000000001719,3.0672000000000001173,0.00125
692,-5.5799999999999998906,560.0000000000000533,520.00000000000001776,3.1272000000000001719,3.0672000000000001173,0.00125
693,-5.570000000000000298,520.00000000000001776,520.00000000000001776,3.0072000000000000627,3.0672000000000001173,0.00125
694,-5.559999999999999838,560.0000000000000533,520.00000000000001776,3.1272000000000001719,3.0672000000000001173,0.00125
695,-5.5500000000000002456,560.0000000000000533,520.00000000000001776,3.1272000000000001719,3.0672000000000001173,0.00125
696,-5.5399999999999997857,520.00000000000001776,520.00000000000001776,3.0072000000000000627,3.0672000000000001173,0.00125
697,-5.530000000000000193,560.0000000000000533,520.00000000000001776,3.1272000000000001719,3.0672000000000001173,0.00125
698,-5.5199999999999997333,520.00000000000001776,479.99999999999998224,3.0072000000000000627,2.947200000000000008,0.00125
699,-5.5100000000000001407,560.0000000000000533,520.00000000000001776,3.1272000000000001719,3.0672000000000001173,0.00125
700,-5.499999999999999681,560.0000000000000533,520.00000000000001776,3.1272000000000001719,3.0672000000000001173,0.00125
701,-5.4900000000000000883,520.00000000000001776,520.00000000000001776,3.0072000000000000627,3.0672000000000001173,0.00125
702,-5.4799999999999996284,560.0000000000000533,520.00000000000001776,3.1272000000000001719,3.0672000000000001173,0.00125
703,-5.470000000000000036,560.0000000000000533,520.00000000000001776,3.1272000000000001719,3.0672000000000001173,0.00125
704,-5.459999999999999576,560.0000000000000533,520.00000000000001776,3.1272000000000001719,3.0672000000000001173,0.00125
705,-5.4499999999999999833,560.0000000000000533,479.99999999999998224,3.1272000000000001719,2.947200000000000008,0.00125
706,-5.440000000000000391,560.0000000000000533,520.00000000000001776,3.1272000000000001719,3.0672000000000001173,0.00125
707,-5.429999999999999931,560.0000000000000533,520.00000000000001776,3.1272000000000001719,3.0672000000000001173,0.00125
708,-5.4200000000000003383,560.0000000000000533,520.00000000000001776,3.1272000000000001719,3.0672000000000001173,0.00125
709,-5.4099999999999998784,520.00000000000001776,520.00000000000001776,3.0072000000000000627,3.0672000000000001173,0.00125
710,-5.400000000000000286,560.0000000000000533,520.00000000000001776,3.1272000000000001719,3.0672000000000001173,0.00125
711,-5.389999999999999826,560.0000000000000533,520.00000000000001776,3.1272000000000001719,3.0672000000000001173,0.00125
712,-5.3800000000000002334,520.00000000000001776,479.99999999999998224,3.0072000000000000627,2.947200000000000008,0.00125
713,-5.3699999999999997735,560.0000000000000533,520.00000000000001776,3.1272000000000001719,3.0672000000000001173,0.00125
714,-5.360000000000000181,520.00000000000001776,520.00000000000001776,3.0072000000000000627,3.0672000000000001173,0.00125
715,-5.349999999999999721,520.00000000000001776,520.00000000000001776,3.0072000000000000627,3.0672000000000001173,0.00125
716,-5.3400000000000001285,520.00000000000001776,520.00000000000001776,3.0072000000000000627,3.0672000000000001173,0.00125
717,-5.3299999999999996686,560.0000000000000533,520.00000000000001776,3.1272000000000001719,3.0672000000000001173,0.00125
718,-5.320000000000000076,560.0000000000000533,520.00000000000001776,3.1272000000000001719,3.0672000000000001173,0.00125
719,-5.309999999999999616,560.0000000000000533,520.00000000000001776,3.1272000000000001719,3.0672000000000001173,0.00125
720,-5.3000000000000000236,560.0000000000000533,520.00000000000001776,3.1272000000000001719,3.0672000000000001173,0.00125
721,-5.290000000000000431,560.0000000000000533,520.00000000000001776,3.1272000000000001719,3.0672000000000001173,0.00125
722,-5.279999999999999971,560.0000000000000533,520.00000000000001776,3.1272000000000001719,3.0672000000000001173,0.00125
723,-5.2700000000000003786,560.0000000000000533,520.00000000000001776,3.1272000000000001719,3.0672000000000001173,0.00125
724,-5.2599999999999999187,560.0000000000000533,520.00000000000001776,3.1272000000000001719,3.0672000000000001173,0.00125
725,-5.250000000000000326,520.00000000000001776,479.99999999999998224,3.0072000000000000627,2.947200000000000008,0.00125
726,-5.2399999999999998662,560.0000000000000533,520.00000000000001776,3.1272000000000001719,3.0672000000000001173,0.00125
727,-5.2300000000000002737,560.0000000000000533,520.00000000000001776,3.1272000000000001719,3.0672000000000001173,0.00125
728,-5.2199999999999998138,560.0000000000000533,520.00000000000001776,3.1272000000000001719,3.0672000000000001173,0.00125
729,-5.210000000000000221,560.0000000000000533,479.99999999999998224,3.1272000000000001719,2.947200000000000008,0.00125
730,-5.1999999999999997613,520.00000000000001776,520.00000000000001776,3.0072000000000000627,3.0672000000000001173,0.00125
731,-5.1900000000000001688,560.0000000000000533,520.00000000000001776,3.1272000000000001719,3.0672000000000001173,0.00125
732,-5.179999999999999709,560.0000000000000533,520.00000000000001776,3.1272000000000001719,3.0672000000000001173,0.00125
733,-5.1700000000000001163,560.0000000000000533,479.99999999999998224,3.1272000000000001719,2.947200000000000008,0.00125
734,-5.1599999999999996564,520.00000000000001776,520.00000000000001776,3.0072000000000000627,3.0672000000000001173,0.00125
735,-5.150000000000000064,560.0000000000000533,520.00000000000001776,3.1272000000000001719,3.0672000000000001173,0.00125
736,-5.139999999999999604,560.0000000000000533,479.99999999999998224,3.1272000000000001719,2.947200000000000008,0.00125
737,-5.1300000000000000114,520.00000000000001776,520.00000000000001776,3.0072000000000000627,3.0672000000000001173,0.00125
738,-5.120000000000000419,520.00000000000001776,520.00000000000001776,3.0072000000000000627,3.0672000000000001173,0.00125
739,-5.109999999999999959,520.00000000000001776,520.00000000000001776,3.0072000000000000627,3.0672000000000001173,0.00125
740,-5.1000000000000003664,560.0000000000000533,520.00000000000001776,3.1272000000000001719,3.0672000000000001173,0.00125
741,-5.0899999999999999065,599.9999999999999778,520.00000000000001776,3.2471999999999999478,3.0672000000000001173,0.00125
742,-5.080000000000000314,560.0000000000000533,520.00000000000001776,3.1272000000000001719,3.0672000000000001173,0.00125
743,-5.069999999999999854,520.00000000000001776,479.99999999999998224,3.0072000000000000627,2.947200000000000008,0.00125
744,-5.0600000000000002615,520.00000000000001776,479.99999999999998224,3.0072000000000000627,2.947200000000000008,0.00125
745,-5.0499999999999998015,560.0000000000000533,520.00000000000001776,3.1272000000000001719,3.0672000000000001173,0.00125
746,-5.040000000000000209,560.0000000000000533,479.99999999999998224,3.1272000000000001719,2.947200000000000008,0.00125
747,-5.029999999999999749,560.0000000000000533,520.00000000000001776,3.1272000000000001719,3.0672000000000001173,0.00125
748,-5.0200000000000001565,560.0000000000000533,520.00000000000001776,3.1272000000000001719,3.0672000000000001173,0.00125
749,-5.0099999999999996966,560.0000000000000533,520.00000000000001776,3.1272000000000001719,3.0672000000000001173,0.00125
